"Name","RelativeUrl","FileType","ShareLink","ShareLinkAccess","ShareLinkType","AllowsAnonymousAccess","IsActive","Expiration","PasswordProtected"
"Cyber Insurance Explained.pdf","/sites/Sales/Collateral/Cyber Insurance Explained.pdf","pdf","https://northerncomputer.sharepoint.com/:b:/r/sites/Sales/Collateral/Cyber%20Insurance%20Explained.pdf?csf=1&web=1","Edit","Direct","False","True","",
"Cyber Insurance Explained.pdf","/sites/Sales/Collateral/Cyber Insurance Explained.pdf","pdf","https://northerncomputer.sharepoint.com/:b:/r/sites/Sales/Collateral/Cyber%20Insurance%20Explained.pdf?csf=1&web=1","Edit","Direct","False","True","",
"Cyber Insurance Explained.pdf","/sites/Sales/Collateral/Cyber Insurance Explained.pdf","pdf",,"ViewOnly","OrganizationView","False","False","",
"Cyber Insurance Explained.pdf","/sites/Sales/Collateral/Cyber Insurance Explained.pdf","pdf","https://northerncomputer.sharepoint.com/:b:/r/sites/Sales/Collateral/Cyber%20Insurance%20Explained.pdf?csf=1&web=1","Edit","Direct","False","True","",
"Cyber Insurance Explained.pdf","/sites/Sales/Collateral/Cyber Insurance Explained.pdf","pdf",,"ViewOnly","OrganizationView","False","False","",
"Cyber Insurance Explained.pdf","/sites/Sales/Collateral/Cyber Insurance Explained.pdf","pdf",,"ViewOnly","OrganizationEdit","False","False","",
"Cyber Insurance Explained.pdf","/sites/Sales/Collateral/Cyber Insurance Explained.pdf","pdf","https://northerncomputer.sharepoint.com/:b:/r/sites/Sales/Collateral/Cyber%20Insurance%20Explained.pdf?csf=1&web=1","Edit","Direct","False","True","",
"Cyber Insurance Explained.pdf","/sites/Sales/Collateral/Cyber Insurance Explained.pdf","pdf",,"ViewOnly","OrganizationView","False","False","",
"Cyber Insurance Explained.pdf","/sites/Sales/Collateral/Cyber Insurance Explained.pdf","pdf",,"ViewOnly","OrganizationEdit","False","False","",
"Cyber Insurance Explained.pdf","/sites/Sales/Collateral/Cyber Insurance Explained.pdf","pdf",,"ViewOnly","AnonymousView","True","False","",
"Cyber Insurance Explained.pdf","/sites/Sales/Collateral/Cyber Insurance Explained.pdf","pdf","https://northerncomputer.sharepoint.com/:b:/r/sites/Sales/Collateral/Cyber%20Insurance%20Explained.pdf?csf=1&web=1","Edit","Direct","False","True","",
"Cyber Insurance Explained.pdf","/sites/Sales/Collateral/Cyber Insurance Explained.pdf","pdf",,"ViewOnly","OrganizationView","False","False","",
"Cyber Insurance Explained.pdf","/sites/Sales/Collateral/Cyber Insurance Explained.pdf","pdf",,"ViewOnly","OrganizationEdit","False","False","",
"Cyber Insurance Explained.pdf","/sites/Sales/Collateral/Cyber Insurance Explained.pdf","pdf",,"ViewOnly","AnonymousView","True","False","",
"Cyber Insurance Explained.pdf","/sites/Sales/Collateral/Cyber Insurance Explained.pdf","pdf",,"ViewOnly","AnonymousEdit","True","False","",
